,text,labels
85,Many climbers train for years to attempt Mount Kilimanjaro.,O O O O O O O B-Mountain O
86,Mount Kilimanjaro is known for its incredible views.,B-Mountain I-Mountain O O O O O O
87,The view from the top of Cho Oyu is breathtaking.,O O O O O O B-Mountain I-Mountain O O
88,There are strict environmental regulations around K2.,O O O O O O O
89,There are strict environmental regulations around Kangchenjunga.,O O O O O O O
90,I hope to reach the top of K2 one day.,O O O O O O O B-Mountain O O
91,Do you know the history of expeditions to Makalu?,O O O O O O O O O
92,"During the summer, we will try to summit Denali.",O O O O O O O O O
93,Hiking around Mont Blanc is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
94,The view from the top of Cho Oyu is breathtaking.,O O O O O O B-Mountain I-Mountain O O
95,"After months of training, I’m finally ready to climb Kangchenjunga.",O O O O O O O O O O
96,Climbers usually spend weeks acclimatizing before attempting Denali.,O O O O O O O O
97,The altitude of K2 poses a significant challenge.,O O O B-Mountain O O O O
98,The ascent of Mont Blanc is both mentally and physically demanding.,O O O B-Mountain I-Mountain O O O O O O
99,There are multiple routes to the summit of Aconcagua.,O O O O O O O O O
100,Dhaulagiri is a difficult peak to climb due to its technical demands.,B-Mountain O O O O O O O O O O O
101,Do you know the history of expeditions to Mount Everest?,O O O O O O O O B-Mountain O
102,"In the winter, climbing Mount Everest becomes even more challenging.",O O O O B-Mountain I-Mountain O O O O
103,We are planning an expedition to Cho Oyu next year.,O O O O O O B-Mountain I-Mountain O O
104,The view from the top of Cho Oyu is breathtaking.,O O O O O O B-Mountain I-Mountain O O
105,Denali is famous for its extreme weather conditions.,B-Mountain O O O O O O O
106,The ascent of Aconcagua is both mentally and physically demanding.,O O O B-Mountain O O O O O O
107,The view from the top of Mount Everest is breathtaking.,O O O O O O B-Mountain I-Mountain O O
108,Annapurna is famous for its extreme weather conditions.,B-Mountain O O O O O O O
109,The glaciers of Mount Kilimanjaro are stunning.,O O O B-Mountain I-Mountain O O
110,Aconcagua is famous for its extreme weather conditions.,B-Mountain O O O O O O O
111,Many climbers train for years to attempt Annapurna.,O O O O O O O O
112,There are multiple routes to the summit of Aconcagua.,O O O O O O O O O
113,Dhaulagiri is located in a remote area with harsh conditions.,B-Mountain O O O O O O O O O
114,Many mountaineers attempt to conquer K2 every year.,O O O O O B-Mountain O O
115,The ascent of Manaslu is both mentally and physically demanding.,O O O B-Mountain O O O O O O
116,Mount Elbrus is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
117,Reaching the summit of K2 is a dream for many climbers.,O O O O B-Mountain O O O O O O
118,Mount Fuji is a difficult peak to climb due to its technical demands.,B-Mountain I-Mountain O O O O O O O O O O O
119,Standing on top of Mount Everest feels like being on top of the world.,O O O O B-Mountain I-Mountain O O O O O O O O
120,I hope to reach the top of Mont Blanc one day.,O O O O O O O B-Mountain I-Mountain O O
121,Reaching the summit of Kangchenjunga is a dream for many climbers.,O O O O B-Mountain O O O O O O
122,Mount Elbrus has always been on my bucket list.,B-Mountain I-Mountain O O O O O O O
123,"During the summer, we will try to summit Mount Elbrus.",O O O O O O O O B-Mountain O
124,I plan to climb Cho Oyu next summer.,O O O O B-Mountain I-Mountain O O
125,The view from the top of Cho Oyu is breathtaking.,O O O O O O B-Mountain I-Mountain O O
126,There are multiple routes to the summit of Mont Blanc.,O O O O O O O O B-Mountain O
127,The ascent of Lhotse is both mentally and physically demanding.,O O O B-Mountain O O O O O O
128,The landscape around Mount Everest is truly breathtaking.,O O O B-Mountain I-Mountain O O O
129,Kangchenjunga is known for its incredible views.,B-Mountain O O O O O O
130,We are preparing for a climb to Mont Blanc.,O O O O O O O B-Mountain O
131,The local guides know the best routes to summit Aconcagua.,O O O O O O O O O O
132,We are planning an expedition to Mount Fuji next year.,O O O O O O B-Mountain I-Mountain O O
133,"After months of training, I’m finally ready to climb Lhotse.",O O O O O O O O O O
134,Climbers usually spend weeks acclimatizing before attempting Cho Oyu.,O O O O O O O B-Mountain O
135,The ascent of Dhaulagiri is both mentally and physically demanding.,O O O B-Mountain O O O O O O
136,The glaciers of Annapurna are stunning.,O O O B-Mountain O O
137,Makalu is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
138,I hope to reach the top of Mount Kilimanjaro one day.,O O O O O O O B-Mountain I-Mountain O O
139,Many mountaineers attempt to conquer Cho Oyu every year.,O O O O O B-Mountain I-Mountain O O
140,Mountaineers often face severe weather conditions on Mount Fuji.,O O O O O O O B-Mountain O
141,Lhotse is located in a remote area with harsh conditions.,B-Mountain O O O O O O O O O
142,I hope to reach the top of Aconcagua one day.,O O O O O O O B-Mountain O O
143,K2 has always been on my bucket list.,B-Mountain O O O O O O O
144,Mount Everest is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
145,We are preparing for a climb to Cho Oyu.,O O O O O O O B-Mountain O
146,The local guides know the best routes to summit Makalu.,O O O O O O O O O O
147,Manaslu has always been on my bucket list.,B-Mountain O O O O O O O
148,Mount Fuji is a difficult peak to climb due to its technical demands.,B-Mountain I-Mountain O O O O O O O O O O O
149,Mont Blanc is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
150,Lhotse is known for its long and dangerous ascent.,B-Mountain O O O O O O O O
151,Mount Kilimanjaro is known for its long and dangerous ascent.,B-Mountain I-Mountain O O O O O O O O
152,Kangchenjunga is a popular destination for adventurous travelers.,B-Mountain O O O O O O O
153,Several expeditions to Dhaulagiri have been successful this year.,O O O B-Mountain O O O O O
154,We are planning an expedition to Dhaulagiri next year.,O O O O O O B-Mountain O O
155,I met a group who had just returned from their climb of Mount Everest.,O O O O O O O O O O O O B-Mountain O
156,Manaslu is part of the Seven Summits challenge.,B-Mountain O O O O O O O
157,Aconcagua is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
158,Hiking around Denali is an unforgettable experience.,O O B-Mountain O O O O
159,Manaslu is located in a remote area with harsh conditions.,B-Mountain O O O O O O O O O
160,Many climbers train for years to attempt Aconcagua.,O O O O O O O O
161,Many climbers train for years to attempt Denali.,O O O O O O O O
162,Annapurna is known for its long and dangerous ascent.,B-Mountain O O O O O O O O
163,I met a group who had just returned from their climb of Cho Oyu.,O O O O O O O O O O O O B-Mountain O
164,There are multiple routes to the summit of Makalu.,O O O O O O O O O
165,I hope to reach the top of Mount Elbrus one day.,O O O O O O O B-Mountain I-Mountain O O
166,Lhotse has always been on my bucket list.,B-Mountain O O O O O O O
167,Lhotse is known for its long and dangerous ascent.,B-Mountain O O O O O O O O
168,Several expeditions to Manaslu have been successful this year.,O O O B-Mountain O O O O O
169,Standing on top of Makalu feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
170,Manaslu is a popular destination for adventurous travelers.,B-Mountain O O O O O O O
171,The ascent of Lhotse is both mentally and physically demanding.,O O O B-Mountain O O O O O O
172,I read an article about a recent expedition to Mount Kilimanjaro.,O O O O O O O O O B-Mountain O
173,We are planning an expedition to Mount Elbrus next year.,O O O O O O B-Mountain I-Mountain O O
174,The landscape around Manaslu is truly breathtaking.,O O O B-Mountain O O O
175,"After months of training, I’m finally ready to climb Aconcagua.",O O O O O O O O O O
176,Standing on top of Dhaulagiri feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
177,"After months of training, I’m finally ready to climb Mount Elbrus.",O O O O O O O O O B-Mountain O
178,The ascent of Mont Blanc is both mentally and physically demanding.,O O O B-Mountain I-Mountain O O O O O O
179,Denali is a popular destination for adventurous travelers.,B-Mountain O O O O O O O
180,Several expeditions to Dhaulagiri have been successful this year.,O O O B-Mountain O O O O O
181,Do you know the history of expeditions to Cho Oyu?,O O O O O O O O B-Mountain O
182,Lhotse has always been on my bucket list.,B-Mountain O O O O O O O
183,Manaslu is part of the Seven Summits challenge.,B-Mountain O O O O O O O
184,I hope to reach the top of Cho Oyu one day.,O O O O O O O B-Mountain I-Mountain O O
185,The locals have a rich history of guiding climbers to the top of Mount Kilimanjaro.,O O O O O O O O O O O O O B-Mountain O
186,Several expeditions to Kangchenjunga have been successful this year.,O O O B-Mountain O O O O O
187,Lhotse is located in a remote area with harsh conditions.,B-Mountain O O O O O O O O O
188,Scaling Cho Oyu is considered a major achievement.,O B-Mountain I-Mountain O O O O O
189,Denali offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
190,I read an article about a recent expedition to Mont Blanc.,O O O O O O O O O B-Mountain O
191,K2 is often attempted by experienced mountaineers.,B-Mountain O O O O O O
192,"During the summer, we will try to summit Mount Fuji.",O O O O O O O O B-Mountain O
193,Dhaulagiri offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
194,Climbers usually spend weeks acclimatizing before attempting Mont Blanc.,O O O O O O O B-Mountain O
195,Climbers often talk about the challenges of scaling Mont Blanc.,O O O O O O O O B-Mountain O
196,Reaching the summit of Mont Blanc is a dream for many climbers.,O O O O B-Mountain I-Mountain O O O O O O
197,Mount Fuji has always been on my bucket list.,B-Mountain I-Mountain O O O O O O O
198,Have you ever been to Manaslu?,O O O O O O
199,Climbers usually spend weeks acclimatizing before attempting Aconcagua.,O O O O O O O O
200,Mount Fuji is part of the Seven Summits challenge.,B-Mountain I-Mountain O O O O O O O
201,The landscape around Mount Elbrus is truly breathtaking.,O O O B-Mountain I-Mountain O O O
202,Have you ever been to Aconcagua?,O O O O O O
203,We are preparing for a climb to Mount Everest.,O O O O O O O B-Mountain O
204,The summit of Mont Blanc is covered in snow all year round.,O O O B-Mountain I-Mountain O O O O O O O
205,Denali is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
206,There are strict environmental regulations around Lhotse.,O O O O O O O
207,The glaciers of Mont Blanc are stunning.,O O O B-Mountain I-Mountain O O
208,The summit of Makalu is covered in snow all year round.,O O O B-Mountain O O O O O O O
209,The view from the top of Dhaulagiri is breathtaking.,O O O O O O B-Mountain O O
210,"During the summer, we will try to summit Annapurna.",O O O O O O O O O
211,I hope to reach the top of Lhotse one day.,O O O O O O O B-Mountain O O
212,We visited the base camp of Mont Blanc.,O O O O O O B-Mountain O
213,The locals have a rich history of guiding climbers to the top of Makalu.,O O O O O O O O O O O O O O
214,Manaslu is often attempted by experienced mountaineers.,B-Mountain O O O O O O
215,I read an article about a recent expedition to Dhaulagiri.,O O O O O O O O O O
216,The view from the top of K2 is breathtaking.,O O O O O O B-Mountain O O
217,The view from the top of Mount Fuji is breathtaking.,O O O O O O B-Mountain I-Mountain O O
218,The wildlife near Manaslu is as stunning as the mountain itself.,O O O B-Mountain O O O O O O O
219,Mountaineers often face severe weather conditions on Mount Fuji.,O O O O O O O B-Mountain O
220,Many climbers train for years to attempt Kangchenjunga.,O O O O O O O O
221,Aconcagua offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
222,Mont Blanc is part of the Himalayas and stands as a symbol of beauty.,B-Mountain I-Mountain O O O O O O O O O O O O
223,Mount Kilimanjaro stands as one of the most iconic peaks in the world.,B-Mountain I-Mountain O O O O O O O O O O O
224,Dhaulagiri has always been on my bucket list.,B-Mountain O O O O O O O
225,We are planning an expedition to Cho Oyu next year.,O O O O O O B-Mountain I-Mountain O O
226,Lhotse is one of the tallest peaks in the world.,B-Mountain O O O O O O O O O
227,There are strict environmental regulations around Manaslu.,O O O O O O O
228,Mont Blanc is a difficult peak to climb due to its technical demands.,B-Mountain I-Mountain O O O O O O O O O O O
229,Makalu is one of the tallest peaks in the world.,B-Mountain O O O O O O O O O
230,Mount Elbrus offers stunning panoramic views from its summit.,B-Mountain I-Mountain O O O O O O O
231,"After months of training, I’m finally ready to climb Dhaulagiri.",O O O O O O O O O O
232,I met a group who had just returned from their climb of Denali.,O O O O O O O O O O O O O
233,The base camp of Dhaulagiri attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
234,Dhaulagiri is a difficult peak to climb due to its technical demands.,B-Mountain O O O O O O O O O O O
235,The view from the top of Mount Everest is breathtaking.,O O O O O O B-Mountain I-Mountain O O
236,"In the winter, climbing Mount Elbrus becomes even more challenging.",O O O O B-Mountain I-Mountain O O O O
237,There are strict environmental regulations around Manaslu.,O O O O O O O
238,"After months of training, I’m finally ready to climb Annapurna.",O O O O O O O O O O
239,There are strict environmental regulations around Aconcagua.,O O O O O O O
240,Do you know the history of expeditions to Mount Everest?,O O O O O O O O B-Mountain O
241,Hiking around Mount Everest is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
242,I read an article about a recent expedition to Denali.,O O O O O O O O O O
243,Mont Blanc is known for its long and dangerous ascent.,B-Mountain I-Mountain O O O O O O O O
244,Mount Elbrus has always been on my bucket list.,B-Mountain I-Mountain O O O O O O O
245,Several teams have attempted to climb Lhotse this season.,O O O O O O B-Mountain O O
246,Mont Blanc offers stunning panoramic views from its summit.,B-Mountain I-Mountain O O O O O O O
247,I hope to reach the top of Denali one day.,O O O O O O O B-Mountain O O
248,Several teams have attempted to climb Kangchenjunga this season.,O O O O O O B-Mountain O O
249,Lhotse offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
250,"During the summer, we will try to summit Aconcagua.",O O O O O O O O O
251,Climbers often talk about the challenges of scaling Makalu.,O O O O O O O O O
252,The view from the top of Mount Everest is breathtaking.,O O O O O O B-Mountain I-Mountain O O
253,Aconcagua is one of the tallest peaks in the world.,B-Mountain O O O O O O O O O
254,Mountaineers often face severe weather conditions on Mont Blanc.,O O O O O O O B-Mountain O
255,Climbers usually spend weeks acclimatizing before attempting Mount Kilimanjaro.,O O O O O O O B-Mountain O
256,"During the summer, we will try to summit Mount Fuji.",O O O O O O O O B-Mountain O
257,Several teams have attempted to climb Mount Kilimanjaro this season.,O O O O O O B-Mountain I-Mountain O O
258,We are preparing for a climb to Mount Everest.,O O O O O O O B-Mountain O
259,Have you ever been to Denali?,O O O O O O
260,Have you ever been to Mount Elbrus?,O O O O O B-Mountain O
261,I met a group who had just returned from their climb of Annapurna.,O O O O O O O O O O O O O
262,The locals have a rich history of guiding climbers to the top of Manaslu.,O O O O O O O O O O O O O O
263,Denali is a less crowded mountain compared to some others.,B-Mountain O O O O O O O O O
264,We visited the base camp of Denali.,O O O O O O O
265,Aconcagua is often attempted by experienced mountaineers.,B-Mountain O O O O O O
266,We are preparing for a climb to Annapurna.,O O O O O O O O
267,The glaciers of Kangchenjunga are stunning.,O O O B-Mountain O O
268,I read an article about a recent expedition to Mount Kilimanjaro.,O O O O O O O O O B-Mountain O
269,"During the summer, we will try to summit Mount Fuji.",O O O O O O O O B-Mountain O
270,I read an article about a recent expedition to Mount Fuji.,O O O O O O O O O B-Mountain O
271,Several teams have attempted to climb Cho Oyu this season.,O O O O O O B-Mountain I-Mountain O O
272,There are strict environmental regulations around Mount Elbrus.,O O O O O O B-Mountain O
273,Scaling Makalu is considered a major achievement.,O B-Mountain O O O O O
274,Aconcagua is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
275,Mountaineers often face severe weather conditions on Lhotse.,O O O O O O O O
276,Have you ever been to Mount Everest?,O O O O O B-Mountain O
277,Mount Kilimanjaro is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
278,Mount Fuji is famous for its extreme weather conditions.,B-Mountain I-Mountain O O O O O O O
279,There are multiple routes to the summit of Denali.,O O O O O O O O O
280,Mount Fuji offers stunning panoramic views from its summit.,B-Mountain I-Mountain O O O O O O O
281,"After months of training, I’m finally ready to climb Dhaulagiri.",O O O O O O O O O O
282,Kangchenjunga is the highest mountain in its region.,B-Mountain O O O O O O O
283,The view from the top of Manaslu is breathtaking.,O O O O O O B-Mountain O O
284,There are multiple routes to the summit of Lhotse.,O O O O O O O O O
285,Mount Elbrus is a popular destination for adventurous travelers.,B-Mountain I-Mountain O O O O O O O
286,The landscape around Mount Everest is truly breathtaking.,O O O B-Mountain I-Mountain O O O
287,Mont Blanc is one of the tallest peaks in the world.,B-Mountain I-Mountain O O O O O O O O O
288,Reaching the summit of Mount Everest is a dream for many climbers.,O O O O B-Mountain I-Mountain O O O O O O
289,Standing on top of Aconcagua feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
290,The weather near Aconcagua can change rapidly.,O O O B-Mountain O O O
291,Hiking around Annapurna is an unforgettable experience.,O O B-Mountain O O O O
292,Several teams have attempted to climb Denali this season.,O O O O O O B-Mountain O O
293,Standing on top of Kangchenjunga feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
294,We are planning an expedition to Denali next year.,O O O O O O B-Mountain O O
295,Do you know the history of expeditions to Mount Fuji?,O O O O O O O O B-Mountain O
296,There are strict environmental regulations around Mount Kilimanjaro.,O O O O O O B-Mountain O
297,We are preparing for a climb to Lhotse.,O O O O O O O O
298,I read an article about a recent expedition to Manaslu.,O O O O O O O O O O
299,Standing on top of Dhaulagiri feels like being on top of the world.,O O O O B-Mountain O O O O O O O O
300,Denali is the highest mountain in its region.,B-Mountain O O O O O O O
301,The glaciers of Aconcagua are stunning.,O O O B-Mountain O O
302,I hope to reach the top of Mont Blanc one day.,O O O O O O O B-Mountain I-Mountain O O
303,Cho Oyu offers stunning panoramic views from its summit.,B-Mountain I-Mountain O O O O O O O
304,The altitude of Mount Fuji poses a significant challenge.,O O O B-Mountain I-Mountain O O O O
305,Mount Kilimanjaro is a popular destination for adventurous travelers.,B-Mountain I-Mountain O O O O O O O
306,Mount Kilimanjaro is part of the Seven Summits challenge.,B-Mountain I-Mountain O O O O O O O
307,The weather near Kangchenjunga can change rapidly.,O O O B-Mountain O O O
308,Mount Everest is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
309,"After months of training, I’m finally ready to climb Annapurna.",O O O O O O O O O O
310,Mount Kilimanjaro is the highest mountain in its region.,B-Mountain I-Mountain O O O O O O O
311,Have you ever been to Kangchenjunga?,O O O O O O
312,Mount Elbrus is the highest mountain in its region.,B-Mountain I-Mountain O O O O O O O
313,Standing on top of Mount Everest feels like being on top of the world.,O O O O B-Mountain I-Mountain O O O O O O O O
314,The view from the top of Mount Everest is breathtaking.,O O O O O O B-Mountain I-Mountain O O
315,Aconcagua is part of the Seven Summits challenge.,B-Mountain O O O O O O O
316,The weather near Mount Everest can change rapidly.,O O O B-Mountain I-Mountain O O O
317,There are multiple routes to the summit of Makalu.,O O O O O O O O O
318,Climbers often talk about the challenges of scaling Kangchenjunga.,O O O O O O O O O
319,Scaling Cho Oyu is considered a major achievement.,O B-Mountain I-Mountain O O O O O
320,K2 is the highest mountain in its region.,B-Mountain O O O O O O O
321,Mountaineers often face severe weather conditions on Denali.,O O O O O O O O
322,Have you ever been to Dhaulagiri?,O O O O O O
323,Several teams have attempted to climb Aconcagua this season.,O O O O O O B-Mountain O O
324,Mount Everest is often attempted by experienced mountaineers.,B-Mountain I-Mountain O O O O O O
325,Lhotse has always been on my bucket list.,B-Mountain O O O O O O O
326,I read an article about a recent expedition to Annapurna.,O O O O O O O O O O
327,I hope to reach the top of Makalu one day.,O O O O O O O B-Mountain O O
328,The local guides know the best routes to summit Cho Oyu.,O O O O O O O O O B-Mountain O
329,"After months of training, I’m finally ready to climb Denali.",O O O O O O O O O O
330,The base camp of Manaslu attracts adventurers from all over the world.,O O O O B-Mountain O O O O O O O
331,Kangchenjunga is part of the Himalayas and stands as a symbol of beauty.,B-Mountain O O O O O O O O O O O O
332,Mont Blanc is known for its long and dangerous ascent.,B-Mountain I-Mountain O O O O O O O O
333,The locals have a rich history of guiding climbers to the top of Lhotse.,O O O O O O O O O O O O O O
334,Mount Kilimanjaro is a popular destination for adventurous travelers.,B-Mountain I-Mountain O O O O O O O
335,I plan to climb Mount Kilimanjaro next summer.,O O O O B-Mountain I-Mountain O O
336,Lhotse is known for its incredible views.,B-Mountain O O O O O O
337,Cho Oyu is known for its incredible views.,B-Mountain I-Mountain O O O O O O
338,Aconcagua has always been on my bucket list.,B-Mountain O O O O O O O
339,Kangchenjunga offers stunning panoramic views from its summit.,B-Mountain O O O O O O O
340,The summit of Mont Blanc is covered in snow all year round.,O O O B-Mountain I-Mountain O O O O O O O
341,Climbers often talk about the challenges of scaling Annapurna.,O O O O O O O O O
342,The local guides know the best routes to summit Mount Kilimanjaro.,O O O O O O O O O B-Mountain O
343,Manaslu has always been on my bucket list.,B-Mountain O O O O O O O
344,Kangchenjunga is famous for its extreme weather conditions.,B-Mountain O O O O O O O
345,"In the winter, climbing Aconcagua becomes even more challenging.",O O O O B-Mountain O O O O
346,The view from the top of Annapurna is breathtaking.,O O O O O O B-Mountain O O
347,"After months of training, I’m finally ready to climb K2.",O O O O O O O O O O
348,We are planning an expedition to Mount Fuji next year.,O O O O O O B-Mountain I-Mountain O O
349,Climbers often talk about the challenges of scaling Mount Elbrus.,O O O O O O O O B-Mountain O
350,Hiking around Mount Elbrus is an unforgettable experience.,O O B-Mountain I-Mountain O O O O
351,Manaslu is part of the Seven Summits challenge.,B-Mountain O O O O O O O
352,There are strict environmental regulations around Mont Blanc.,O O O O O O B-Mountain O
353,Do you know the history of expeditions to Dhaulagiri?,O O O O O O O O O
354,Climbers often talk about the challenges of scaling Aconcagua.,O O O O O O O O O
355,We are planning an expedition to Mount Everest next year.,O O O O O O B-Mountain I-Mountain O O
356,Do you know the history of expeditions to Annapurna?,O O O O O O O O O
357,Many climbers train for years to attempt Mont Blanc.,O O O O O O O B-Mountain O
